分类: 中央, 名称: 环球奇观, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 224 ms, 最高速率: 7.83 M/s, 平均速率: 7.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CETV4, 有效: 0, IPv4: 98, IPv6: 0, 最小延迟: 524 ms, 最高速率: 4.97 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CETV早期教育, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 519 ms, 最高速率: 8.38 M/s, 平均速率: 5.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: 央广购物, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 3342 ms, 最高速率: 2.49 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: 卫生健康, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 574 ms, 最高速率: 6.60 M/s, 平均速率: 6.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 中国交通, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 947 ms, 最高速率: 0.81 M/s, 平均速率: 0.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: 高尔夫网球, 有效: 5, IPv4: 40, IPv6: 0, 最小延迟: 355 ms, 最高速率: 7.49 M/s, 平均速率: 5.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 风云足球, 有效: 5, IPv4: 53, IPv6: 0, 最小延迟: 350 ms, 最高速率: 7.36 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 文化精品, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 196 ms, 最高速率: 71.92 M/s, 平均速率: 18.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 风云音乐, 有效: 5, IPv4: 48, IPv6: 0, 最小延迟: 740 ms, 最高速率: 6.45 M/s, 平均速率: 5.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 第一剧场, 有效: 5, IPv4: 74, IPv6: 0, 最小延迟: 562 ms, 最高速率: 7.81 M/s, 平均速率: 6.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 怀旧剧场, 有效: 5, IPv4: 58, IPv6: 0, 最小延迟: 593 ms, 最高速率: 22.23 M/s, 平均速率: 9.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 风云剧场, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 607 ms, 最高速率: 7.58 M/s, 平均速率: 7.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 电视指南, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 551 ms, 最高速率: 6.43 M/s, 平均速率: 5.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 世界地理, 有效: 5, IPv4: 52, IPv6: 0, 最小延迟: 576 ms, 最高速率: 7.13 M/s, 平均速率: 5.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 发现之旅, 有效: 0, IPv4: 30, IPv6: 0, 最小延迟: 509 ms, 最高速率: 5.26 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 女性时尚, 有效: 5, IPv4: 47, IPv6: 0, 最小延迟: 552 ms, 最高速率: 7.02 M/s, 平均速率: 5.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 兵器科技, 有效: 5, IPv4: 48, IPv6: 0, 最小延迟: 662 ms, 最高速率: 7.06 M/s, 平均速率: 5.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 央视台球, 有效: 5, IPv4: 50, IPv6: 0, 最小延迟: 515 ms, 最高速率: 6.03 M/s, 平均速率: 4.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 体育赛事, 有效: 0, IPv4: 10, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中央, 名称: 中学生, 有效: 0, IPv4: 24, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中央, 名称: 重温经典, 有效: 4, IPv4: 62, IPv6: 0, 最小延迟: 515 ms, 最高速率: 8.77 M/s, 平均速率: 8.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 中国天气, 有效: 0, IPv4: 45, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中央, 名称: 书画, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 中央, 名称: 百姓健康, 有效: 4, IPv4: 8, IPv6: 0, 最小延迟: 587 ms, 最高速率: 7.55 M/s, 平均速率: 4.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 睛彩青少, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 93 ms, 最高速率: 20.13 M/s, 平均速率: 13.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 睛彩广场舞, 有效: 0, IPv4: 16, IPv6: 0, 最小延迟: 1074 ms, 最高速率: 0.49 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: 睛彩竞技, 有效: 3, IPv4: 32, IPv6: 0, 最小延迟: 95 ms, 最高速率: 20.23 M/s, 平均速率: 13.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: 睛彩篮球, 有效: 2, IPv4: 43, IPv6: 0, 最小延迟: 99 ms, 最高速率: 18.84 M/s, 平均速率: 13.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CCTV-4欧洲, 有效: 0, IPv4: 36, IPv6: 0, 最小延迟: 796 ms, 最高速率: 0.18 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CCTV-4美洲, 有效: 0, IPv4: 35, IPv6: 0, 最小延迟: 1315 ms, 最高速率: 0.13 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CGTN西语, 有效: 1, IPv4: 9, IPv6: 0, 最小延迟: 1883 ms, 最高速率: 2.62 M/s, 平均速率: 2.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 中央, 名称: CGTN, 有效: 3, IPv4: 104, IPv6: 0, 最小延迟: 254 ms, 最高速率: 18.29 M/s, 平均速率: 7.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 中央, 名称: CGTN纪录, 有效: 4, IPv4: 58, IPv6: 0, 最小延迟: 683 ms, 最高速率: 9.28 M/s, 平均速率: 5.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
