Name: CCTV-1, URL: http://221.205.180.219:8002/rtp/226.0.2.153:9136$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 104 ms
Name: CCTV-1, URL: http://27.19.81.48:8118/rtp/239.254.96.96:8550$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 105 ms
Name: CCTV-1, URL: http://124.129.78.38:3333/rtp/239.253.254.77:8000$1920x1080, Date: 2024-09-24, Resolution: 1920x1080, Response Time: 105 ms
Name: CCTV-1, URL: http://114.243.100.237:8822/rtp/239.3.1.129:8008$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 105 ms
Name: CCTV-1, URL: http://171.213.136.13:4022/rtp/239.93.0.184:5140$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 106 ms
Name: CCTV-1, URL: http://121.21.84.3:8888/rtp/239.253.92.83:8012$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 106 ms
Name: CCTV-1, URL: http://114.243.97.208:8822/rtp/239.3.1.129:8008$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 106 ms
Name: CCTV-1, URL: http://171.120.214.119:8082/rtp/226.0.2.153:9136$1920x1080, Date: 2024-10-11, Resolution: 1920x1080, Response Time: 107 ms
Name: CCTV-1, URL: http://183.164.53.181:4022/rtp/238.1.78.166:7200$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 107 ms
Name: CCTV-1, URL: http://221.205.180.219:8001/rtp/226.0.2.153:9136$1920x1080, Date: 2024-09-30, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://125.109.62.72:9999/rtp/233.50.201.222:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://27.10.129.243:8002/rtp/225.0.4.74:7980$1920x1080, Date: 2024-10-10, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://61.53.168.147:18888/rtp/225.1.4.73:1102$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://223.215.3.199:2000/rtp/238.1.78.166:7200$1920x1080, Date: 2024-09-29, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://114.243.111.3:8822/rtp/239.3.1.129:8008$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://183.141.3.6:8888/rtp/233.50.201.222:5140$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 109 ms
